Ailment,Description from Wikipedia,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3673028/,,,,How/Why Cannabis works
ADHD / ADD,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,,,,"* Prescription Drugs: 237,485 + 5000 traffic fatalities",,,https://www.hellomd.com/health-wellness/fighting-add-adhd-with-medical-marijuana,"Although not completely understood, ADHD/ADD seems to result from a dysfunction in dopamine neurotransmitter release and uptake. Dopamine receptors interact with the endocannabinoid system in many parts of the brain, which makes medical marijuana a possible treatment option for those suffering from ADHD/ADD. Cannabinoid receptors are concentrated in the amygdala and hippocampus areas of the brain. Those areas are linked strongly with attention deficit disorders, high anxiety, depression, and phobias. These centers also have a high concentration of CB1 receptors, which cannabis can target to help control these symptoms. Recent research into marijuana use by those with ADHD/ADD supports the theory that cannabis can be an effective treatment for ADHD, although there is still a scarcity of formal studies on the topic."
Alcoholism,https://en.wikipedia.org/wiki/Alcoholism,,,,"* Tobacco: 390,323",,,https://www.whaxy.com/learn/cannabis-treament-for-alcoholism,"The late Dr. Tod Mikuriya was a strong advocate of medical cannabis for a variety of therapeutic applications, including the treatment of alcohol dependence. Mikuriya published a study in 2004 that involved 92 patients, all of whom had been prescribed cannabis as a treatment for alcohol dependence. As could be expected among patients seeking physician approval to treat alcoholism with cannabis, all reported that they’d found it ‘very effective’ (45) or ‘effective’ (38). Efficacy was inferred from other responses on seven questionnaires. Nine patients reported that they had practiced total abstinence from alcohol for more than a year and attributed their success to cannabis. Their years in sobriety: 19, 18, 16, 10, 7, 6, 4 (2), and 2."
ALS ,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis,,,,"* Alcohol: 88,013 + 16,000 traffic fatalities    substitute:  http://www.sciencedirect.com/science/article/pii/S0091305713002104",,,http://www.safeaccessnow.org/is_medical_marijuana_the_solution_for_als,"The benefits of Cannabis to treat ALS is prevalent in anecdotal evidence, but basic laboratory and animal research suggests that THC may be the first (and only?) naturally occurring, non-toxic, anti-oxidant to slow the progressions of the disease significantly. In addition to delaying the progression of disease and increasing life-span cannabinoids treatments may offer other benefits include sleep induction, appetite stimulation, saliva reduction, bronchodilation, analgesia, and muscle relaxation (Carter). The human clinical studies on THC-only Cannabis are limited by sample size. Research regulations for clinical use of THC also make it difficult to recruit ALS patients in a timely manner for a controlled study. Despite these significant obstacles, two human studies have been conducted. One of the studies, was a pilot study investigating the safety and tolerability of THC in ALS patients (Gelinas/ABood 2002). This clinical study confirmed symptomatic benefits for appetite, insomnia, and spasticity. The second research study was conducted as an anonymous survey in 80 countries, 131 surveys were completed, and the mean age 54. Participants reported that Cannabis helped provide relief from drooling, speech and swallowing difficulty, appetite loss, weakness, shortness of breath, spasticity, depression, and pain (Amtmann D 2004). In animals with ALS, THC administered either before or after the onset of the disease delayed motor impairment and prolonged survival. Furthermore, THC potently reduced oxidative and excite-toxic damage in spinal cord cultures in vitro (Raman et al. 2004). The protective effects of cannabinoids and their anti-spastic effects in MS are well known (Carter 2001). Furthermore, cannabinoid receptors are up-regulated in human tissue during disease progression, making them an abundant target for treatment."
Alzheimer’s Disease,https://en.wikipedia.org/wiki/Alzheimer%27s_disease,,,,,664.3424658,166.0856164,http://blog.sfgate.com/smellthetruth/2014/11/29/marijuana-fights-alzheimers-disease-study-indicates/,"Alzheimer’s Disease is thought to result from a lifetime of brain inflammation. Cannabis is one of the most safe anti-inflammatories in medicine. Some neuroscientists believe a bout of pot smoking in early adulthood may prevent Alzheimer’s onset later in life. Cannabis slows brain aging, Time reported in 2012. Smoking, vaping, or eating the pot molecules THC and CBD directly effects nerve cell function, reducing chronic brain inflammation, oxidative stress, and cellular dysfunction — all the while promoting stability of the human body’s internal environment (homeostasis) and healthy brain cells (neurotrophic support), studies show. “What we found was that not only did the single puff a day reverse the memory impairment but also restarted neurogenesis,” Ohio State University, Gary Wenk told the Seattle Post Intelligencer this year. Other studies have shown THC inhibits other key pathological markers of Alzheimer’s Disease."
Anorexia ,https://en.wikipedia.org/wiki/Anorexia_nervosa,,,,,1069.378082,267.3445205,http://420insight.com/medicinal/eating-disorders-and-medical-cannabis/,"In 2011, a study reported in Biological Psychology found that the body’s endocannabinoid system (ECS) influences a person’s mood and response to food. It was also found that those with anorexia and bulimia had impaired or particularly underactive endocannabinoid systems. The ECS is a system of cannabinoid receptors (namely CB1 and CB2) found on the surfaces of some of the cells in our bodies. The CB1 receptors are found mainly in brain cells, but also throughout the body, while the CB2 receptors are located in the cells of certain organs and deal primarily with the body’s immune system.  The body naturally produces its own endogenous cannabinoids, Anandamide and 2-Arachidonyl-glycerol (2AG), to stimulate the CB1 and CB2 receptors. The goal of the ECS is to stabilize the body’s internal environment in response to the body’s external environment. One of these stabilizing forces is appetite – when the body needs fuel, it gets hungry. We often get this impulse from the Anandamide and 2AG cannabinoids in breast milk during infancy. These cannabinoids stimulate our appetites. Some researchers believe that EDs are linked to a dysfunctional ECS, which can be rectified through medical cannabis. People with anorexia or bulimia have hypersensitive CB1 receptor functions that influence body awareness, whereas the receptors associated with pleasure in eating seem to be stunted."
Anxiety Disorders,https://en.wikipedia.org/wiki/Anxiety_disorder,,,,,284.9671233,142.4835616,http://www.anxietysocialnet.com/anxiety-and-medical-marijuana,"When taking a close look at medical studies and results of medical marijuana used to treat anxiety, it’s evident that the chemical makeup, specifically the presence of the chemical compound Cannabidiol, commonly known as CBD, is the main ingredient to treat anxiety. Certain medical marijuana strains with higher levels of CBD have proven to help treat anxiety disorders. The CBD produces therapeutic affects for patients and can also help pa tients with Crohn’s Disease or glaucoma. Animal studies suggest that CBD present in cannabis lessens anxiety and reduces the severity and frequency of seizures. According to a study published by the Institute of Psychiatry, CBD proved to offer great psychiatric potential, including uses as an antidepressant-like and anxiolytic-like compound. During the study, animals who had been given CBD experienced lower levels of anxiety and depression in a series of tests, such as swimming and puzzle mazes, than animals who had not been given CBD. Another study aimed to investigate the use of CBD for treating a social anxiety disorder. The study, published by the Department of Neurosciences and Behavior, Division of Psychiatry, found that CBD was associated with significantly decreased subjective anxiety. The study states that in the first session, subjects were given an oral does of CBD or placebo. Results suggested that CBD reduced anxiety in social anxiety disorder patients because it is related to CBD’s effects on activity in specific mood-altering brain areas."
Arthritis,https://en.wikipedia.org/wiki/Arthritis,,,,x,lives saved per day,576,https://www.whaxy.com/learn/best-cannabis-for-arthritis,"Osteoarthritis is the most common type of arthritis and occurs when a person’s cartilage simply wears away. It can affect the knees, hips, lower back, hands, and neck. Osteoarthritis is basically a sign of aging and quite common. Unfortunately, no cure exists. Treatments like cannabis have been shown to reduce swelling in the joints and relieve pain for osteoarthritis sufferers. Rheumatoid arthritis, or RA, is an autoimmune condition that attacks the joints. Think of RA as a faulty immune system. The disease can cause severe debilitation for sufferers of all ages, as well as a slew of other immune system-related health problems. There are two cannabinoids found in marijuana that have especially profound efficacy for those with arthritis: CBD and THC. CBD, or cannabidiol, is responsible for immune system modulation, meaning it is helpful for an autoimmune condition like rheumatoid arthritis. THC, or tetrahydrocannabinol — and byproducts of its metabolism — has been found to be anti-inflammatory and analgesic (pain killing). THC is also known to reduce the anxiety and depression that commonly accompany severe diseases, especially those that affect one’s mobility."
Asthma,https://en.wikipedia.org/wiki/Asthma,,,,,lives saved per year,"210,209",http://sensiseeds.com/en/blog/top-6-benefits-of-cannabis-for-asthma/,"Asthma is considered to be a chronic inflammatory condition, as persistent, low-level inflammation has been found to occur in the bronchi and bronchioles even during non-attack circumstances. During an attack, levels of inflammation increase, exacerbating the levels of constriction caused by muscular contractions of the bronchial tissue. Asthma-related inflammation is generally thought to be an immune response to the presence of allergens, although the immune response has not been definitively ascertained and may differ greatly between individuals. Cannabinoids are well-known for their anti-inflammatory effects, and while most studies thus far into cannabis and asthma have focused primarily on the bronchodilatory effect, some have also observed a reduction in bronchial inflammation. Furthermore, cannabis is currently being investigated for its ability to produce targeted therapies for immune-modulated inflammatory diseases. Cannabinoid receptors have been found in human lung tissue, although in relatively low concentrations, and are thought to play a vital role in the regulation of inflammation, muscular contractions and dilations, and various metabolic processes. However, research into the immune-modulated inflammatory response (and how cannabis may assist it) is in its infancy."
Autism,https://en.wikipedia.org/wiki/Autism,,,,,,x,https://www.whaxy.com/learn/cannabis-treatment-autism,"Some forms of autism are believed to result from an insufficient amount ofendocannabinoids, the body’s own healthy molecules that are very similar to phytocannabinoids like THC and CBD provided by herbs like cannabis. A lack of endocannabinoids has been labeled endocannabinoid deficiency and is known to be responsible for a multitude of diseases and conditions. It is theorized that this dysfunction in the production of proper levels of endocannabinoids may be one of the primary causes of autism. The Autism Research Institute believes that many symptoms of autism can be mitigated through the use of properly titrated (dosed) cannabis: “Some of the symptoms medical marijuana has ameliorated include: Anxiety — even severe anxiety — aggression, panic disorder, generalized rage, tantrums, property destruction, and self-injurious behavior.” Another study from 2013 that was published in the Journal of Autism and Developmental Disorders revealed a link between the endocannabinoid system and immune cells in children with autism. Because immune dysfunction is a factor that contributes to autism, the condition is believed to be linked to higher levels of CB2 receptors in cells (CB1 receptors, on the contrary, were not overexpressed). CB2 receptors play a significant role in regulation of the immune system. Because problems with the immune system are so closely related to autism, the authors of the study concluded that the use of cannabinoids and therapies that target CB2 receptors might be helpful for those who suffer from ASD."
Bipolar Disorder,https://en.wikipedia.org/wiki/Bipolar_disorder,,,,,,,https://www.hellomd.com/health-wellness/a-natural-mood-stabilizer-medical-marijuana-can-help-fight-bipolar-disorder,"While the causes of bipolar affective disorder are not clear, it is thought to have a strong genetic component. It could also be related to physical changes in the brain.Magnetic resonance images (MRI) have shown that the brains of those with bipolar affective disorder have ""decreases in the volume of the brain's prefrontal cortex and its subcortical connections sites, including the amygdala."" The prefrontal cortex is involved in decision making and behavior, while the amygdala is responsible for emotions, mood and motivation. All of these functions are affected by bipolar disorder. Nerve cells communicate through neurochemicals at synapses. Endocannabinoids, which are naturally occurring chemicals in the body that are similar to the cannabinoids in medical marijuana, influence synaptic action and help to maintain the brain's chemical balance. Research has shown that cannabis can help restore synaptic action, reducing pain and spasticity. In a literature review, researchers from the University of Newcastle upon Tyne in the United Kingdom examined the relationship between cannabinoids and bipolar affective disorder. They concluded that both tetrahydrocannabinol (THC) and cannabidiol (CBD) from medical marijuana are similar to standard medications being used to treat bipolar affective disorder. Based on this finding and the mounting evidence that THC and CBD can affect synaptic action, the researchers feel that patients with bipolar affective disorder could benefit from medical marijuana."
